"Date","year","month","day","Pandemic_Phase","Transport_Mode","Total_Ridership","Usage_Ratio"
2020-04-03,2020,4,3,"Peak-Lockdown","LIRR",9657,0.03
2020-04-03,2020,4,3,"Peak-Lockdown","MetroNorth",9770,0.03
2020-04-03,2020,4,3,"Peak-Lockdown","StatenIslandRailway",843,0.05
2020-04-03,2020,4,3,"Peak-Lockdown","AccessARide",7794,0.27
2020-04-03,2020,4,3,"Peak-Lockdown","BridgesTunnels",340272,0.36
2020-04-04,2020,4,4,"Peak-Lockdown","Subway",282278,0.09
2020-04-04,2020,4,4,"Peak-Lockdown","Bus",13168,0.01
2020-04-04,2020,4,4,"Peak-Lockdown","LIRR",3727,0.03
2020-04-04,2020,4,4,"Peak-Lockdown","MetroNorth",4451,0.03
2020-04-04,2020,4,4,"Peak-Lockdown","StatenIslandRailway",425,0.08
2020-04-04,2020,4,4,"Peak-Lockdown","AccessARide",4375,0.26
2020-04-04,2020,4,4,"Peak-Lockdown","BridgesTunnels",243323,0.27
2020-04-05,2020,4,5,"Peak-Lockdown","Subway",227303,0.09
2020-04-05,2020,4,5,"Peak-Lockdown","Bus",9748,0.01
2020-04-05,2020,4,5,"Peak-Lockdown","LIRR",2969,0.03
2020-04-05,2020,4,5,"Peak-Lockdown","MetroNorth",3601,0.03
2020-04-05,2020,4,5,"Peak-Lockdown","StatenIslandRailway",300,0.09
2020-04-05,2020,4,5,"Peak-Lockdown","AccessARide",2763,0.15
2020-04-05,2020,4,5,"Peak-Lockdown","BridgesTunnels",209151,0.24
2020-04-06,2020,4,6,"Peak-Lockdown","Subway",445454,0.08
2020-04-06,2020,4,6,"Peak-Lockdown","Bus",22418,0.01
2020-04-06,2020,4,6,"Peak-Lockdown","LIRR",10127,0.03
2020-04-06,2020,4,6,"Peak-Lockdown","MetroNorth",9832,0.03
2020-04-06,2020,4,6,"Peak-Lockdown","StatenIslandRailway",819,0.05
2020-04-06,2020,4,6,"Peak-Lockdown","AccessARide",7093,0.25
2020-04-06,2020,4,6,"Peak-Lockdown","BridgesTunnels",335768,0.36
2020-04-07,2020,4,7,"Peak-Lockdown","Subway",434986,0.08
2020-04-07,2020,4,7,"Peak-Lockdown","Bus",21623,0.01
2020-04-07,2020,4,7,"Peak-Lockdown","LIRR",9312,0.03
2020-04-07,2020,4,7,"Peak-Lockdown","MetroNorth",9589,0.03
2020-04-07,2020,4,7,"Peak-Lockdown","StatenIslandRailway",732,0.05
2020-04-07,2020,4,7,"Peak-Lockdown","AccessARide",7041,0.24
2020-04-07,2020,4,7,"Peak-Lockdown","BridgesTunnels",335469,0.36
2020-04-08,2020,4,8,"Peak-Lockdown","Subway",427485,0.08
2020-04-08,2020,4,8,"Peak-Lockdown","Bus",20361,0.01
2020-04-08,2020,4,8,"Peak-Lockdown","LIRR",9039,0.03
2020-04-08,2020,4,8,"Peak-Lockdown","MetroNorth",9292,0.03
2020-04-08,2020,4,8,"Peak-Lockdown","StatenIslandRailway",721,0.04
2020-04-08,2020,4,8,"Peak-Lockdown","AccessARide",6950,0.24
2020-04-08,2020,4,8,"Peak-Lockdown","BridgesTunnels",324881,0.35
2020-04-09,2020,4,9,"Peak-Lockdown","Subway",404635,0.07
2020-04-09,2020,4,9,"Peak-Lockdown","Bus",18734,0.01
2020-04-09,2020,4,9,"Peak-Lockdown","LIRR",8413,0.03
2020-04-09,2020,4,9,"Peak-Lockdown","MetroNorth",8931,0.03
2020-04-09,2020,4,9,"Peak-Lockdown","StatenIslandRailway",690,0.04
2020-04-09,2020,4,9,"Peak-Lockdown","AccessARide",6243,0.22
2020-04-09,2020,4,9,"Peak-Lockdown","BridgesTunnels",303480,0.32
2020-04-10,2020,4,10,"Peak-Lockdown","Subway",400275,0.07
2020-04-10,2020,4,10,"Peak-Lockdown","Bus",17135,0.01
2020-04-10,2020,4,10,"Peak-Lockdown","LIRR",8247,0.03
